series,year,gamename,first,second,third,fourth,
Street Fighter,2012,Super Street Fighter IV: Arcade Edition (Version 2012),"Seon-woo ""Infiltration"" Lee","Bruce ""GamerBee"" Hsiang","Eduardo ""PRBalrog"" Pérez-Frangie",Zhuojun Zeng,
Street Fighter,2013,Super Street Fighter IV: Arcade Edition (Version 2012),Kun Xian Ho,"Hajime ""Tokido"" Taniguchi","Seon-Woo ""Infiltration"" Lee","Eduardo ""PRBalrog"" Pérez-Frangie",
Street Fighter,2014,Ultra Street Fighter IV,"Olivier ""Luffy"" Hay","Masato ""Bonchan"" Takahashi","Keita ""Fuudo"" Ai","Darryl ""Snake Eyez"" Lewis",
Street Fighter,2015,Ultra Street Fighter IV,Yusuke Momochi,"Bruce ""GamerBee"" Hsiang","Seon-woo ""Infiltration"" Lee","Naoki ""Nemo"" Nemoto",
Street Fighter,2016,Street Fighter V,"Seon-woo ""Infiltration"" Lee","Keita ""Fuudo"" Ai",Atsushi Fujimura,"Goichi ""GO1"" Kishida",
Street Fighter,2017,Street Fighter V,"Hajime ""Tokido"" Taniguchi","Victor ""Punk"" Woodley","Ryota ""Kazunoko"" Inoue","Hiromiki ""Itabashi Zangief"" Kumada",
Street Fighter,2018,Street Fighter V: Arcade Edition,Benjamin Simon,"Hajime ""Tokido"" Taniguchi","Keita ""Fuudo"" Ai",Tsunehiro Kanamori,
Street Fighter,2019,Street Fighter V: Arcade Edition,"Masato ""Bonchan"" Takahashi","Adel ""Big Bird"" Anouche",DC Coleman,Atsushi Fujimura,
Street Fighter,2022,Street Fighter V: Champion Edition,Masaki Kawano,"Derek ""iDom"" Ruffin","Tsunehiro ""gachikun"" Kanamori","Hajime ""Tokido"" Taniguchi",
The King of Fighters,2012,The King of Fighters XIII,"Lee ""MadKOF"" Kwang-no","Luis Armando ""Bala"" Velazquez","Shin ""Verna"" Min Su",Guts,
The King of Fighters,2013,The King of Fighters XIII,"Reynald ""Reynald"" Tacsuan",Hee San Woo,"Lee ""MadKOF"" Kwang-no","Hajime ""Tokido"" Taniguchi",
The King of Fighters,2014,The King of Fighters XIII,"Zeng ""Xiaohai"" Zhuojun","Hajime ""Tokido"" Taniguchi","Lin ""E.T."" Chiahung","Lee ""MadKOF"" Kwang-no",
The King of Fighters,2017,The King of Fighters XIV,"Lin ""E.T."" Chiahung","Zeng ""Xiaohai"" Zhuojun","Luis ""Luis Cha"" Martinez","Chia-Chen ""ZJZ"" Tseng",
The King of Fighters,2022,The King of Fighters XV,"Chia-Chen ""ZJZ"" Tseng","Lin ""E.T."" Chiahung","Chen ""XiaoHey"" Sui Yang","Myung Gu ""Lacid"" Kang",
Melty Blood,2010,Melty Blood: Actress Again,"Yoichiro ""Garu"" Aruga","Stephen ""Lord Knight"" Barthelemy","Antonio ""Kusanagi"" Medrano","Byron ""HF Blade"" Barzabal",
Melty Blood,2022,Melty Blood: Type Lumina,Jing,"Damian ""Masoma"" Fullbright",Kiri,"Jose ""ScrawtVermillion"" Ballestero",
Persona,2013,Persona 4 Arena,Yume,"Steve ""Lord Knight"" Barthelemy","Jose Rafael ""BananaKen"" Llera","Eddie ""brkrdave"" Sayles",
Capcom vs. SNK,2002,Capcom vs. SNK 2,"Hajime ""Tokido"" Taniguchi","Shinya ""Nuki"" Ohnuki","Armon ""Ken"" Jackson","Tetsuya ""Ino"" Inoue",
Capcom vs. SNK,2003,Capcom vs. SNK 2,"Tetsuya ""Ino"" Inoue",Daigo Umehara,"Kenryo ""Mago"" Hayashi","Ryo ""BAS"" Yoshida",
Capcom vs. SNK,2004,Capcom vs. SNK 2,"Yosuke ""Kindevu"" Ito",Ricki Ortiz,John Choi,Dan,
Capcom vs. SNK,2005,Capcom vs. SNK 2,"Ryo ""BAS"" Yoshida","Kenryo ""Mago"" Hayashi","Yosuke ""Kindevu"" Ito","Peter ""Combofiend"" Rosas",
Capcom vs. SNK,2006,Capcom vs. SNK 2,"Yosuke ""Kindevu"" Ito",Ricki Ortiz,"Peter ""Combofiend"" Rosas","Campbell ""Buktooth"" Tran",
Capcom vs. SNK,2007,Capcom vs. SNK 2,"Ryo ""BAS"" Yoshida",Ricki Ortiz,Justin Wong,"Yosuke ""Kindevu"" Ito",
Capcom vs. SNK,2008,Capcom vs. SNK 2,John Choi,"Ryo ""BAS"" Yoshida",Ricki Ortiz,Justin Wong,
Soulcalibur,2003,Soulcalibur II,"Daniel ""The Nightmare"" Vu","Will ""Semi"" Johnson","Ari ""fLoE"" Weintrab",Aris Bakhtanians,
Soulcalibur,2004,Soulcalibur II,"Robert ""RTD"" Combs","Marquette ""Mick"" Yarbrough","Mystic ""SowNemesis"" Senoir",Christian Gonzalez,
Soulcalibur,2009,Soulcalibur IV,"Jonathan ""Malek"" Ledy","Phillip ""KDZ"" Atkinson","Joseph ""Omega"" Freire",Alpha Male,
Soulcalibur,2012,Soulcalibur V,"Naoaki ""Shining Decopon"" Yanagihara",Shen Chan,"Omar ""Something-Unique"" Mohammed","Jonathan ""Woahhzz"" Vo",
Soulcalibur,2018,Soulcalibur VI,LinkRKC,"Michael ""Party Wolf"" Stabile","Sean ""Xephukai"" Paquette","Michael ""Boom"" Watkins",
Soulcalibur,2019,Soulcalibur VI,Yutotto,Bluegod,"Jérémy ""Skyll"" Bernard","Jonathan ""Woahhzz"" Vo",
Street Fighter X Tekken,2012,Street Fighter X Tekken,"Seon-Woo ""Infiltration"" Lee and Ryan ""Laugh"" Ahn","Ricki Ortiz and Eduardo ""PR Balrog"" Pérez","Hajime ""Tokido"" Taniguchi and  Keita ""Fuudo"" Ai","Mike Ross and Peter ""Combofiend"" Rosas",
Street Fighter X Tekken,2013,Street Fighter X Tekken (Version 2013),"Seon-Woo ""Infiltration"" Lee",Justin Wong,"Joe ""MOV"" Egami",Alex Valle,
Super Smash Bros.,2007,Super Smash Bros. Melee,Ken Hoang,"Hugo ""HugS"" Gonzalez","Joseph ""Mango"" Marquez","Christopher ""PC Chris"" Szygiel",
Super Smash Bros.,2008,Super Smash Bros. Brawl,"Asim ""CPU"" Mehta",Ken Hoang,"Ricky ""Hall"" Diaz","Kyle ""SK92"" King",
Super Smash Bros.,2013,Super Smash Bros. Melee,"Joseph ""Mango"" Marquez","Robert ""Wobbles"" Wright","Juan ""Hungrybox"" Debiedma","Adam ""Armada"" Lindgren",
Super Smash Bros.,2014,Super Smash Bros. Melee,"Joseph ""Mango"" Marquez","Juan ""Hungrybox"" Debiedma","Adam ""Armada"" Lindgren","Kevin ""PPMD"" Nanney",
Super Smash Bros.,2015,Super Smash Bros. for Wii U,"Gonzalo ""ZeRo"" Barrios","Ramin ""Mr.R"" Delshad","Nairoby ""Nairo"" Quezada","Yuta ""Abadango"" Kawamura",
Super Smash Bros.,2015,Super Smash Bros. Melee,"Adam ""Armada"" Lindgren","Juan ""Hungrybox"" Debiedma","Kevin ""PPMD"" Nanney","Justin ""Plup"" McGrath",
Super Smash Bros.,2016,Super Smash Bros. for Wii U,"Elliot Bastien ""Ally"" Carroza-Oyarce","Takuto ""Kamemushi"" Ono","Gonzalo ""ZeRo"" Barrios","James ""VoiD"" Makekau-Tyson",
Super Smash Bros.,2016,Super Smash Bros. Melee,"Juan ""Hungrybox"" Debiedma","Adam ""Armada"" Lindgren","Justin ""Plup"" McGrath","Joseph ""Mango"" Marquez",
Super Smash Bros.,2017,Super Smash Bros. Melee,"Adam ""Armada"" Lindgren","Joseph ""Mango"" Marquez","Juan ""Hungrybox"" Debiedma","Jason ""Mew2King"" Zimmerman",
Super Smash Bros.,2017,Super Smash Bros. for Wii U,"Saleem ""Salem"" Akiel Young","Gonzalo ""ZeRo"" Barrios","Larry ""Larry Lurr"" Holland","Gavin ""Tweek"" Dempsey",
Super Smash Bros.,2018,Super Smash Bros. for Wii U,"Bharat ""Lima"" Chintapall","Zack ""CaptainZack"" Lauth","Yuta ""Nietono"" Uejima","Tamim ""Mistake"" Omary",
Super Smash Bros.,2018,Super Smash Bros. Melee,"William ""Leffen"" Hjelte","Adam ""Armada"" Lindgren","Justin ""Plup"" McGrath","Juan ""Hungrybox"" Debiedma",
Super Smash Bros.,2019,Super Smash Bros. Ultimate,"Leonardo ""MkLeo"" Lopez","Gavin ""Tweek"" Dempsey","William ""Glutonny"" Belaid","Ezra ""Samsora"" Morris",
Tekken,2003,Tekken 4,"Josh ""JinKid"" Molinaro","Anthony ""Jackie Tran"" Tran","Wiley ""TreyPhoenix"" Adams III","Chetan ""ChetChetty"" Chetty",
Tekken,2003,Tekken Tag Tournament,Bong-min Kim,Ryan Hart,"Kenbou ""TARE"" Kawakami","Eric ""JOP Akins",
Tekken,2004,Tekken 4,"Anthony ""Jackie Tran"" Tran","Josh ""JinKid"" Molinaro","Thomas ""TomHilfiger"" Kymn","Nikos ""Aenica"" Fourikis",
Tekken,2004,Tekken Tag Tournament,Ryan Hart,"Shaun ""Unconkable"" Rivera","Brad ""Slips"" Vitale",Nick Shin,
Tekken,2005,Tekken 5,"Christopher ""Crow"" Villarreal","Yuji ""Yuu"" Kato","Dong-il ""MadDogJin"" Shin","Christopher ""jra64"" Abella",
Tekken,2005,Tekken Tag Tournament,"Byeong-mun ""Qudans"" Son",Ryan Hart,"Thomas ""TomHilfiger"" Kymn","Brad ""Slips"" Vitale",
Tekken,2006,Tekken 5,"Christopher ""Crow"" Villarreal",Bronson Tran,"Christopher ""jra64"" Abella",Justin Wong,
Tekken,2007,Tekken 5: Dark Resurrection,"Josh ""Arario"" Park","Spero ""Spero Gin"" Gineros",Bronson Tran,"Derek ""Kane"" Lee",
Tekken,2008,Tekken 5: Dark Resurrection,Ryan Hart,Gandido,"Mario ""Canno"" Canales","Noel Lawrence ""VFanatic"" Villadolid",
Tekken,2010,Tekken 6,"Hyun-kyu ""Nin"" Park","Reepal ""Rip"" Parbhoo","Jimmy ""Mr. NAPS"" Tran","Jim ""Devil Jim"" Esmersey",
Tekken,2011,Tekken 6,"Rene ""Kor"" Maistry","Shawn ""Fab"" Swain","Reepal ""Rip"" Parbhoo","James ""JustFrameJames"" Garrett",
Tekken,2013,Tekken Tag Tournament 2,"Jae-min ""Knee"" Bae",Bronson Tran,"Michael ""Stringbean"" Ramos","Hyun-kyu ""Nin"" Park",
Tekken,2014,Tekken Tag Tournament 2,"Hyun-jin ""JDCR"" Kim","Genki ""Gen"" Kumisaka","Akihiro ""Ao"" Abe","Jimmy ""Mr. NAPS"" Tran",
Tekken,2015,Tekken 7,"Nakayama ""Nobi"" Daichi","Akihiro ""Ao"" Abe","Jin-woo ""Saint"" Choi","Hyun-jin ""JDCR"" Kim",
Tekken,2016,Tekken 7: Fated Retribution,"Jin-woo ""Saint"" Choi","Jae-min ""Knee"" Bae","Chung-gon ""Poongko"" Lee","Anthony ""Geesemaster"" Jaimes",
Tekken,2017,Tekken 7,"Hyun-jin ""JDCR"" Kim","Jin-woo ""Saint"" Choi","Jae-min ""Knee"" Bae",Miyabe Taisei,
Tekken,2018,Tekken 7,"Sun-woong ""LowHigh"" Youn","Byeong-mun ""Qudans"" Son","Terrelle ""Lil Majin"" Jackson","Hyun-jin ""JDCR"" Kim",
Tekken,2019,Tekken 7,"Arslan ""Arslan Ash"" Siddique","Jae-Min ""Knee"" Bae","Hoa ""Anakin"" Luu","Abe ""Take"" Takehiko",
Tekken,2022,Tekken 7,"Jae-Min ""Knee"" Bae","Imran ""KHAN"" Khan","Arslan ""Arslan Ash"" Siddique","Sang-hyun ""JeonDDing"" Jeon",
Virtua Fighter,2003,Virtua Fighter 4: Evolution,Chibata,Ohsu-Akira,Ryan Hart,Neo Tower,
Virtua Fighter,2004,Virtua Fighter 4: Evolution,"Hiromiki ""Itabashi Zangief"" Kumada",Shoutime,Kurita,Ryan Hart,
Virtua Fighter,2007,Virtua Fighter 5,"Hiromiki ""Itabashi Zangief"" Kumada","Shinya ""Nuki"" Onuki",Yosuke Otome,"Hajime ""Tokido"" Taniguchi",
Mario Kart,2006,Mario Kart DS,Cameron “CAM” Tangen,"Josh ""Husky217"" Habben",Adam Sexton,"Josh ""Universe"" Consentino",
vs. Capcom,2010,Tatsunoko vs. Capcom: Ultimate All-Stars,"Martin ""EG Marn"" Phan","Kevin ""KBeast"" Baigan","Justin ""EG JWong"" Wong","Jeff ""Kurasa"" Blyden",
Granblue,2022,Granblue Fantasy Versus,Gamera,Tororo,Tako,Ren,
Skullgirls,2022,Skullgirls 2nd Encore,"Dominique ""SonicFox"" McLean","Jon ""dekillsage"" Coello",penpen,"Daniel ""Cloud"" Normandia",
